game_name,cpu,ram,gpu,storage,os
RESIDENT EVIL 3,Intel Core i5-4460  or FX-6300,8 GB,NVIDIA GeForce GTX 960  or Radeon RX 460,45 GB,Windows 10
DARK SOULS II,Intel Core 2 Duo E8500,2 GB,ATI Radeon HD 5870,12 GB,"Windows Vista SP2, Windows 7 SP1, Windows 8"
L.A. Noire,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,
Immortals Fenyx Rising,Intel Core i5-2400  or FX-6300,8 GB,NVIDIA GeForce GTX 660  or Radeon R9 280X,28 GB,Windows 7
Construction Simulator,Intel Core i5-4460,8 GB,NVIDIA GeForce GTX 960,10 GB,Windows 10
Dead Cells,Intel Core 2 Duo E8400,2 GB,ATI Radeon HD 5750,500 MB,
Pacify,Intel Core i5-4400E,4 GB,ATI FireGL V7350,5 GB,Windows 10 - 64 bit
Marvel's Guardians of the Galaxy,Intel Core 2 Duo E8400,8 GB,NVIDIA GeForce 510,150 GB,Windows 10 64-bit
Prototype,AMD Athlon 64 X2 4000+,2 GB,NVIDIA GeForce 7800 GT,8 GB,Windows® XP (with Service Pack 3) or Windows Vista®
Overwatch,AMD Phenom 8650,4 GB,ATI Radeon HD 4850,30 GB,Windows® 7 / Windows® 8 / Windows® 10 64-bit (latest Service Pack)
XCOM 2,Intel Core i3-3225,4 GB,NVIDIA GeForce GTX 650,45 GB,Ubuntu 14.04.2 64-bit or Steam OS
Change,AMD Athlon X2 250,800 MB,AMD Radeon HD 3450,1 GB,windows7
The Mortuary Assistant,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce GTX 960,4 GB,Windows 7 or higher
Marvels Avengers,Intel Core i3-4160,8 GB,NVIDIA GeForce GTX 950,75 GB,Windows 10 64-bit
Assassin's Creed Syndicate,Intel Core i5-2400S,6 GB,NVIDIA GeForce GTX 660,,Windows 7 SP1 or Windows 8.1 or Windows 10 (64bit versions)
Ghost Watchers,Intel Core i5-4400E,4 GB,AMD Radeon HD 5450,8 GB,Windows 10
Dauntless,Intel Core i5-2400,4 GB,NVIDIA GeForce GTX 660 Ti,15 GB,Windows 7 DX11 Support
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,Intel Core i5-2400,6 GB,NVIDIA GeForce GTX 660,25 GB,Windows 8.1
Paladins,Intel Core 2 Duo E4600,4 GB,NVIDIA GeForce 8800 GT,30 GB,Windows 7 64-bit or newer
SUPER PEOPLE,Intel Core i5-4430,8 GB,AMD Radeon R7 370,40 GB,64-bit Windows 10
Need for Speed: Most Wanted (2005),AMD Athlon XP 1700+,1 GB,ATI Radeon 7500,3 GB,Windows 2000
Saints Row,Intel Core i3-3240  or Ryzen 3 1200,8 GB,NVIDIA GeForce GTX 970,50 GB,Windows 10
Kerbal Space Program,Intel Core 2 Duo U7600,4 GB,NVIDIA GeForce 8400 GS,3 GB,Ubuntu 14.04 LTS 64-bit
Bayonetta,Intel Core i3-3220,4 GB,AMD Radeon HD 6950,20 GB,Microsoft Windows 7 / 8 (8.1)/ 10
Tomb Raider,AMD FX-6300,4 GB,AMD Radeon R7 260X,15 GB,Ubuntu 14.04 or Steam OS 2.0 (64 bit)
Total War: THREE KINGDOMS,Intel Core i3-4130,6 GB,NVIDIA GeForce GTX 680,60 GB,Ubuntu 18.04 64-bit
SCUM,Intel Core i5-4430,8 GB,AMD Radeon R7 370,20 GB,"64-bit Windows 7, Windows 8.1, Windows 10"
Age of Empires II: Definitive Edition,Intel Core 2 Duo Q6867,4 GB,AMD Radeon HD 6850,30 GB,Windows 10 64bit
Farming Simulator 19,Intel Core i3-2100T,4 GB,AMD Radeon HD 7770,20 GB,"64-bit Windows 7, Windows 8, Windows 10"
Madden NFL 23,Intel Core i3-6100,8 GB,AMD Radeon RX 460,50 GB,Windows 10
American Truck Simulator,Intel Core 2 Duo E4600,4 GB,Intel HD 4000,3 GB,Ubuntu 14.04 64-bit
Europa Universalis IV,Intel Core Duo T2500,2 GB,AMD Radeon HD 6750,2 GB,Ubuntu 16.04 LTS
Company of Heroes 3,Intel Core i5-650  or Ryzen 5 1400,8 GB,AMD Radeon R9 370  or GeForce GTX 950,40 GB,Windows 10
The Outer Worlds,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,System requirements coming soon
Persona 4 Golden,Intel Core 2 Duo E8400,2 GB,ATI Radeon HD 5770,14 GB,Windows 8.1
ULTRAKILL,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 9800 GT,2 GB,Windows 7 64-bit or later
Phantasy Star Online 2,Intel Core i3-4150,8 GB,NVIDIA GeForce GT 430,103 GB,Windows 10 64bit
Marauders,Intel Core i5-6600,12 GB,AMD Radeon R9 380,10 GB,Windows 10 64-bit
Returnal™,Intel Core i5-6400,16 GB,AMD Radeon RX 580,60 GB,Windows 10 64-bit (version 1903)
Resident Evil 4,Intel Core i5-7500  or Ryzen 3 1200,8 GB,AMD Radeon RX 560  or GeForce GTX 1050 Ti,,Windows 10 (64 bit)
Virtual Desktop,Intel Core i5-2500K,4 GB,NVIDIA GeForce GTX 980M,700 MB,"Windows 7 SP1, Windows 8.1 or Windows 10"
SCP: Pandemic,Intel Pentium 4 4.00GHz,12 GB,AMD Radeon R5 M230,30 GB,Requires a 64-bit processor and operating system
Vampire The Masquerade: Bloodhunt,Intel Core i5-7400,8 GB,AMD Radeon RX 580,20 GB,Windows 10 64-bit
Starcraft 2,Intel Core 2 Duo U7600,2 GB,AMD Radeon HD 2600 XT,30 GB,Windows® 7 / Windows® 8 / Windows® 10
Need For Speed: The Run,Intel Core 2 Duo E8400,3 GB,NVIDIA GeForce 8800 GT,18 GB,Windows 7
Hello Neighbor,Intel Core i5-4400E,6 GB,NVIDIA GeForce GTX 770,5 GB,Windows 7 and up
Dead Island Definitive Edition,Intel Core i5-2500,4 GB,AMD Radeon HD 6870,10 GB,Windows® 7 64-bit / Windows® 8 64-bit / Windows® 8.1 64-bit / Windows® 10 64-bit
Pentiment,Intel Core i3-3225,4 GB,NVIDIA GeForce GTX 650 Ti,12 GB,Windows 7 (SP1) 64bit
Assassin's Creed,AMD Athlon 64 X2 4400+,4 GB,ATI FireMV 2400 PCIe,8 GB,Windows® XP
Coral Island,Intel Core i3-2340UE,6 GB,NVIDIA GeForce GTX 660,8 GB,Windows 10 64 bit
Assassin's Creed Rogue,Intel Core 2 Quad Q6600,2 GB,AMD Radeon HD 5670,12 GB,Windows 7 SP1 or Windows 8/8.1 (64bit versions only)
A Plague Tale: Innocence,Intel Core i3-2120,8 GB,AMD Radeon HD 7870,50 GB,Windows 7/8/10 (64 bits)
Chained Echoes,Intel Core 2 Duo Q6867,6 GB,ATI FireGL T2-128,900 MB,SteamOS
Dune: Spice Wars,Intel Core i5-4400E,8 GB,NVIDIA GeForce GTX 1050,4 GB,Windows 10 and Windows 11
Batman: Arkham Origins,Intel Core 2 Duo E4600,2 GB,ATI Radeon HD 3850,,"32-bit:  Vista, Win 7, Win 8"
Farthest Frontier,Intel Core i5-3470,8 GB,NVIDIA GeForce GTX 780,4 GB,Windows 10 (64bit versions only)
Black Mesa,Intel Core 2 Duo Q6867,6 GB,AMD Radeon HD 5450,20 GB,Windows® 7 (32/64-bit)/Vista or Greater
Middle-earth: Shadow of Mordor,Intel Core i5-750,4 GB,NVIDIA GeForce GT 640,47 GB,Ubuntu 14.04.2 64-bit / SteamOS
GTFO,Intel Core i5-2500K,8 GB,AMD Radeon HD 7850,15 GB,Windows 7 64-Bit or later
The Long Dark,Intel Core i5-4400E,4 GB,Intel HD 4400,7 GB,SteamOS or Ubuntu 16.04 or 17.04
Tom Clancy's The Division 2,Intel Core i5-2500K,2 GB,NVIDIA GeForce GTX 670,40 GB,"Windows 7 SP1, 8.1 or 10"
Borderlands 2,Intel Core 2 Duo T7700,2 GB,ATI Radeon HD 2600 PRO,13 GB,
Portal 2,Intel Core 2 Duo Q6867,2 GB,AMD Radeon HD 2600 XT,8 GB,Ubuntu 12.04
GTA Trilogy,Intel Core i5-6600K,8 GB,NVIDIA GeForce GTX 760,45 GB,Windows 10
Mass Effect Legendary Edition,Intel Core i5-3570,8 GB,NVIDIA GeForce GTX 780,55 GB,Windows 10
ONE PIECE ODYSSEY,Intel Core i5-6600,8 GB,NVIDIA GeForce GTX 780,35 GB,Windows 10 64-bit
Genius Calculator,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,90 MB,Most modern 64bit Linux distributions
Age of Empires III: Definitive Edition,Intel Core i3-2105,8 GB,AMD Radeon HD 5570,42 GB,Windows 10 version 18362.0 or higher
Streamer Life Simulator,Intel Core 2 Duo Q6867,4 GB,Intel HD 4000,5 GB,Windows 7
ACE COMBAT 7: SKIES UNKNOWN,Intel Core i3-7100,4 GB,NVIDIA GeForce GTX 750 Ti,50 GB,Windows 7 / 8 / 8.1 / 10 (64-bit OS required)
Street Fighter V,Intel Core i3-4160,6 GB,NVIDIA GeForce GTX 480,,Windows 7 64-bit
Potion Craft,Intel Core i3-6100,8 GB,NVIDIA GeForce GTX 670,2 GB,Windows 10
Mafia II,Intel Core 2 Duo E8400,4 GB,ATI Radeon HD 2600 PRO,8 GB,Microsoft Windows XP (SP2 or later) / Windows Vista / Windows 7
コイカツ！ / Koikatsu Party,Intel Core i3-2340UE,4 GB,NVIDIA GeForce 8500 GT,20 GB,WINDOWS® 7 / 8.1 / 10 (64-bit required)
Total War: WARHAMMER,Intel Core i3-4130,4 GB,AMD Radeon R9 270,29 GB,"Ubuntu 16.10 64-bit, SteamOS 2.0"
VTOL VR,Intel Core i5-3570K,8 GB,NVIDIA GeForce GTX 970,2 GB,Microsoft Windows 7
Resident Evil 7,Intel Core i5-4460  or FX-6300,8 GB,NVIDIA GeForce GTX 960  or Radeon RX 460,24 GB,Windows 10
X-Plane 11,Intel Core i5-4400E,8 GB,NVIDIA GeForce 7200 GS,20 GB,"Varies, Ubuntu 16.04LTS tested"
Generation Zero,Intel Core i5 750S,8 GB,Intel Iris Pro 580,35 GB,64bit OS - Windows 7 with Service Pack 1
State of Decay 2,Intel Core i5-2500,8 GB,AMD Radeon HD 7870,30 GB,Windows 10 64-bit
DRAGON BALL FighterZ,Intel Core i5-3470,4 GB,AMD Radeon HD 6870,6 GB,Windows 7/8/10 (64-bit OS required)
Back 4 Blood,Intel Core i5-6600K,8 GB,AMD Radeon RX 570,40 GB,Windows 7
Totally Accurate Battle Simulator,Intel Core i5-2400,8 GB,NVIDIA GeForce GTX 670,3 GB,Windows 7
GTA: Vice City,Intel Core i5-6600K,8 GB,ATI FireGL T2-128,45 GB,Windows 10
FOR HONOR,Intel Core i3-550,4 GB,NVIDIA GeForce GTX 750 Ti,40 GB,"Windows 7, Windows 8.1, Windows 10 (64-bit versions only)"
Chivalry 2,Intel Core i3-4130,6 GB,NVIDIA GeForce GTX 1060,20 GB,Windows 7
VRChat,AMD FX-8350,4 GB,NVIDIA GeForce GTX 970,1 GB,"Windows 7, Windows 8.1, Windows 10"
PC Building Simulator,Intel Core i5-2500K,4 GB,NVIDIA GeForce GTX 660,30 GB,Windows 7 or higher
Hitman: Absolution,Intel Core 2 Duo U7600,2 GB,AMD Radeon HD 3450,,"Windows Vista, 7"
Call of Duty: World at War,Intel Core 2 Duo E8400,1 GB,AMD Radeon X1600,8 GB,Windows XP
Injustice 2,Intel Core i5-750,4 GB,AMD Radeon R9 270,52 GB,64-bit Windows 7 / Windows 10
Total War: WARHAMMER II,Intel Core i3-4130,6 GB,NVIDIA GeForce GTX 680,52 GB,Ubuntu 18.04 64-bit
Frostpunk,Intel Core 2 Duo E8700,4 GB,AMD Radeon R7 370,8 GB,Windows 7/8/10 64-bit
RimWorld,Intel Core 2 Duo E8400,4 GB,Intel HD 3000,500 MB,Linux
Assassin's Creed III,Intel Core 2 Duo E8200,2 GB,NVIDIA GeForce 7200 GS,17 GB,Windows Vista® (SP2) / Windows® 7 (SP1) / Windows® 8
HoneySelect2Libido DX,Intel Pentium 4 2.00GHz,4 GB,AMD Radeon HD 5450,15 GB,WINDOWS® 8.1 / 10 (64-bit required)
Return to Monkey Island,Intel Pentium 4 2.00GHz,8 GB,AMD Radeon HD 5450,4 GB,Ubuntu 20.04 or newer
BONELAB,Intel Core i5-7600,8 GB,NVIDIA GeForce GTX 1070,20 GB,Windows 10
F.I.S.T.: Forged In Shadow Torch,Intel Core i5-6400,8 GB,AMD Radeon R9 280,25 GB,Windows 10 version 1903
Insurgency: Sandstorm,Intel Core i5-4440,8 GB,NVIDIA GeForce GTX 760,40 GB,Windows 7/8/10 (64 bits)
Honkai Impact 3rd,Intel Core i3-6100,8 GB,AMD Radeon HD 7870,15 GB,Windows 7 SP1 x64
Team Fortress 2,Intel Pentium 4 1.70GHz,512 MB,AMD Radeon X1600,15 GB,Ubuntu 12.04
Watch Dogs Legion,Intel Core i5-4460,8 GB,NVIDIA GeForce GTX 970,45 GB,Windows 10
Titanfall 2,Intel Core i3-6300T,8 GB,AMD Radeon HD 7850,45 GB,Win 7/8/8.1/10 64bit
JUMP FORCE,Intel Core i5-2300,4 GB,NVIDIA GeForce GTX 660,17 GB,Windows 7/8/10 (64-bit OS required)
NBA 2K21,Intel Core i3-2100,4 GB,AMD Radeon HD 7770,110 GB,"Windows 7 64-bit, Windows 8.1 64-bit or Windows 10 64-bit"
Terraria,Intel Core 2 Duo T5750,2.5 GB,Intel HD 3000,200 MB,Ubuntu 14.04 LTS
TUNIC,Intel Core i5-750,8 GB,NVIDIA GeForce GTX 660,2 GB,Windows 10
Green Hell,Intel Core 2 Duo E8700,4 GB,AMD Radeon RX 460,8 GB,Windows 7/8/10 64-bit
Sable,Intel Core i3-6100,8 GB,NVIDIA GeForce GTX 750 Ti,3 GB,Windows 10
FINAL FANTASY VII REMAKE INTERGRADE,Intel Core i5-3330,8 GB,AMD Radeon RX 480,100 GB,Windows® 10 64-bit (ver. 2004 or later)
Elite Dangerous,Intel Celeron J1900,6 GB,NVIDIA GeForce GTX 470,25 GB,Windows 7/8/10 64-bit
Halo: The Master Chief Collection,AMD Phenom II X4 960T,4 GB,AMD Radeon HD 6850,43 GB,Windows 7
Tales of Arise,Intel Core i5-2300,8 GB,NVIDIA GeForce GTX 760,45 GB,Windows 10 (64-bit Only)
CarX Drift Racing Online,Intel Core i5-4590,4 GB,AMD Radeon R9 270,6 GB,"Windows 7, 8, 10"
Battlefield 3,Intel Core 2 Duo T7250,2 GB,ATI Radeon 3000,20 GB,Windows 7 64-bit
World of Warships,AMD Athlon II X2 215,2 GB,AMD Radeon HD 4650,35 GB,Windows 7 x86
The Isle,Intel Core 2 Quad Q9650,8 GB,NVIDIA GeForce GTX 960,25 GB,Windows 8 64-bit or later (64 Bit ONLY)
iRacing,Intel Core i5-4430,2 GB,AMD Radeon HD 7850,16 GB,"Windows 8.1 64-Bit, Windows 10 64-Bit"
"Warhammer 40,000: Chaos Gate - Daemonhunters",Intel Core i5-4590,8 GB,AMD Radeon R9 280X,18 GB,Windows 8.1/10 64bit
HITMAN,Intel Core i5-2500K,8 GB,AMD Radeon HD 7870,50 GB,Ubuntu 16.04 or Steam OS 2.0
HITMAN 2,AMD Phenom II X4 940,8 GB,NVIDIA GeForce GTX 660,60 GB,OS 64-bit Windows 7
EVE Online,Intel Core 2 Duo T5750,2 GB,NVIDIA GeForce 8600 GTS,20 GB,Windows 7
Disney Dreamlight Valley,Intel Core i3-540,6 GB,AMD Radeon HD 6570,10 GB,Windows 10
Fallout 3,Intel Pentium 4 2.40GHz,1 GB,NVIDIA GeForce 6800,7 GB,Windows XP
Hellish Quart,Intel Pentium 4 2.00GHz,8 GB,NVIDIA GeForce GTX 1050,10 GB,Windows 7
METAL GEAR RISING: REVENGEANCE,Intel Core i5-2400,2 GB,NVIDIA GeForce GTS 450,25 GB,XP or Vista or 7 or 8
Unity Testing Grounds,Intel Pentium 4 2.00GHz,512 MB,Intel Media Accelerator 500,500 MB,Windows Xp or Higher
Diablo 3,AMD Athlon 64 X2 5600+,1 GB,AMD Radeon X1950 Pro,12 GB,Windows XP
FPS Chess,Intel Core i5-4460,4 GB,AMD Radeon R9 280X,1 GB,Windows 10
JoJo's Bizarre Adventure: All-Star Battle R,Intel Core i3-6300,8 GB,NVIDIA GeForce GTX 770,6 GB,Windows 10
The Crew 2,Intel Core i5-2400S,8 GB,AMD Radeon HD 7870,,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)"
Sleeping Dogs,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 8800 GT,15 GB,Windows Vista Service Pack 2
DRAGON BALL XENOVERSE 2,Intel Pentium G4400,2 GB,AMD Radeon HD 6570,,Windows 7 and higher (64 bit only)
Canvas,AMD Phenom II X4 955,4 GB,AMD Radeon R7 260X,2 GB,Windows 7 (64-bit) or newer
Max Payne 3,Intel Core 2 Duo E8400,2 GB,NVIDIA GeForce 8600 GT,35 GB,Windows 7 32/64 Service Pack 1
Guild Wars 2,Intel Core 2 Duo E4600,4 GB,NVIDIA GeForce 6100,50 GB,Windows® XP Service Pack 3 or better
Call of Duty 4: Modern Warfare,Intel Core 2 Duo E8400,512 MB,NVIDIA GeForce 6600,8 GB,Windows Vista
The Witcher 2: Assassins of Kings Enhanced Edition,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 9800 GT,25 GB,"Ubuntu 14.04, Linux Mint 17, Steam OS"
Cult of the Lamb,Intel Core i3-3240,4 GB,AMD Radeon HD 7750,4 GB,Windows 7 or later
Steelrising,Intel Core i7-3770,8 GB,NVIDIA GeForce RTX 2060,67 GB,Windows 10
Forspoken,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,tbc
Fallout 76,Intel Core i5-6600K,8 GB,NVIDIA GeForce GTX 780,80 GB,Windows 8.1/10 (64-bit versions)
SnowRunner,Intel Core i3-4130,8 GB,AMD Radeon R9 270,20 GB,Windows 7/8/10 (64-bit)
Severed Steel,Intel Core 2 Duo Q6867,8 GB,NVIDIA GeForce GTX 750,,Windows 10
Mortal Kombat X,Intel Core i5-750,3 GB,ATI Radeon HD 5850,36 GB,"64-bit: Vista, Win 7, Win 8, Win 10"
Yakuza 0,Intel Core i5-3470,4 GB,AMD Radeon HD 6870,,Windows 7 64Bit
Slime Rancher 2,Intel Core i5-2500K,8 GB,AMD Radeon R9 280,8 GB,Windows 10 64-bit
Middle-earth: Shadow of War,Intel Core i5-2300,6 GB,NVIDIA GeForce GTX 660,70 GB,Windows 7 SP1 with Platform Update
TEKKEN 8,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Windows 10
Shadow of the Tomb Raider,Intel Core i3-4130,8 GB,NVIDIA GeForce GTX 680,,Ubuntu 18.04 64-bit
Icarus,Intel Core i5-8400,16 GB,NVIDIA GeForce GTX 1060,70 GB,Windows 10 (64-bit versions)
Far Cry Primal,Intel Core i3-550,4 GB,ATI Radeon HD 5770,20 GB,"Windows 7, Windows 8.1, Windows 10 (64-bit versions only)"
Football Manager 2022,AMD Athlon 64 FX-51,4 GB,AMD GeForce 9600M GT,7 GB,"Windows 7 64-bit, 8/8.1, 10"
GameLooper,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 6100,100 MB,Windows 7
Hello Neighbor 2,AMD Athlon X4 880K,6 GB,AMD Radeon HD 7850,20 GB,Windows 10/11 x64
Call of Duty: Black Ops - Cold War,Intel Core i5-2500K,8 GB,NVIDIA GeForce GTX 670,175 GB,Windows 7
Warhammer: Vermintide 2,Intel Core i5-2300,6 GB,NVIDIA GeForce GTX 460,65 GB,"64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10"
Scorn,Intel Core i5-8400,8 GB,NVIDIA GeForce GTX 1060,50 GB,Windows 10
Yandere Simulator,Intel Core i5-750,4 GB,NVIDIA GeForce GT 1030,2 GB,Windows 7 or higher
Mafia III,Intel Core i5-2500K,6 GB,AMD Radeon HD 7870,50 GB,Windows 7 64-bit
METAL GEAR SOLID V: THE PHANTOM PAIN,Intel Core i5-4460,4 GB,NVIDIA GeForce GTX 650,28 GB,"Windows 7x64, Windows 8x64, Windows 10x64 (64-bit OS Required)"
STAR WARS: Squadrons,Intel Core i5-6600K,8 GB,AMD Radeon HD 7850,40 GB,Windows 10 64-bit
Kingdom Come: Deliverance,AMD Phenom II X4 940,8 GB,NVIDIA GeForce GTX 660,40 GB,OS 64-bit Windows 7 or 64-bit Windows 8 (8.1) or Windows 10
The Sims 3,Intel Pentium 4 2.00GHz,1 GB,AMD Radeon 9200 SE,5 GB,Windows XP
DRAGON BALL Z: KAKAROT,Intel Core i5-2400,4 GB,NVIDIA GeForce GTX 750 Ti,36 GB,Windows 7 SP1 64-bit
LEGO® Builder's Journey,Intel Core i5-3470,8 GB,AMD Radeon R7 260X,5 GB,Windows 10 x64
House Flipper,AMD Phenom II X4 955,4 GB,AMD Radeon R7 260X,6 GB,Windows 7 (64-bit) or newer
Cricket 22,Intel Core i3-2340UE,8 GB,AMD Radeon R7 260,45 GB,Windows 10 or higher
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,AMD Athlon 64 X2 6400+,2 GB,NVIDIA GeForce 8500 GT,40 GB,Windows (64bit) 7 or higher up to date
Enlisted,Intel Core i3-2120,8 GB,NVIDIA GeForce GTX 660,12 GB,Windows 7 64-Bit
Just Cause 3,Intel Core i5-2500K,8 GB,AMD Radeon HD 7870,54 GB,Vista SP2 / Windows 7.1 SP1 / Windows 8.1 (64-bit Operating System Required)
DARK SOULS: REMASTERED,Intel Core i5-2300,6 GB,AMD Radeon HD 6870,8 GB,"Windows 7 64-bit, Service Pack 1"
Sniper Elite 5,Intel Core i3-8100,8 GB,AMD Radeon R5 M335,85 GB,Windows 10
Street Fighter 6,Intel Core i5-7500  or Ryzen 3 1200,8 GB,NVIDIA GeForce GTX 1060  or Radeon RX 580,60 GB,Windows 10 64-bit
Disco Elysium,Intel Core 2 Duo Q6867,2 GB,AMD Radeon HD 5450,20 GB,Windows 7
FINAL FANTASY XV,Intel Core i5-2500,8 GB,AMD Radeon R9 280,100 GB,Windows® 7 SP1/ Windows® 8.1 / Windows® 10 64-bit
Cricket 19,Intel Core i3-3210,4 GB,AMD Radeon HD 6670,25 GB,Windows 7 (x64) or higher
Fallout New Vegas,Intel Core 2 Duo T5750,2 GB,AMD Radeon X1300,10 GB,Windows XP
Game Pass,Intel Core i5-8300H,8 GB,NVIDIA GeForce GTX 1050,150 GB,Windows 10
Control,Intel Core i5-4690,8 GB,AMD Radeon R9 280X,42 GB,"Windows 7, 64-bit"
Stardew Valley,Intel Core 2 Duo E8400,2 GB,Intel HD 3000,500 MB,Ubuntu 12.04 LTS
Dragon Age™ Inquisition,Intel Core 2 Quad Q9705,4 GB,ATI Radeon HD 4870,26 GB,"Windows 7 or 8.1, 64-bit"
Stellaris,AMD FX-6350,4 GB,NVIDIA GeForce GTX 460,12 GB,Ubuntu 16.04 x86
Hollow Knight,Intel Pentium E5200,4 GB,AMD GeForce 9800 GTX,9 GB,Ubuntu 16.04 LTS (64bit)
Watch Dogs,Intel Core 2 Quad Q8400,6 GB,ATI Radeon HD 5770,25 GB,"Windows Vista (SP2), Windows 7 (SP1) or Windows 8 (Please note that we only support 64 bit OSs.)"
The Elder Scrolls Online,Intel Core i3-540,3 GB,AMD Radeon HD 6850,85 GB,Windows 7 64-bit
Deep Rock Galactic,Intel Core i5-4400E,6 GB,AMD Radeon HD 7870,3 GB,Windows 7 64 Bit
Cafe Owner Simulator,Intel Core i5-4400E,8 GB,NVIDIA GeForce GTX 1060,12 GB,Windows 10
Hunt Showdown,Intel Core i5-4590,8 GB,AMD Radeon R7 370,36 GB,Windows 10 64 bit
PRO EVOLUTION SOCCER 2019,Intel Core i5-3470,4 GB,NVIDIA GeForce GTX 670,30 GB,Windows 7 SP1/8.1/10 - 64bit
Dishonored 2,Intel Core i5-2400,8 GB,NVIDIA GeForce GTX 660,60 GB,Windows 7/8/10 (64-bit versions)
Divine Knockout,Intel Core i5-2320,4 GB,NVIDIA GeForce GTX 555,20 GB,Windows 7 64-bit or newer
Rise of the Tomb Raider,Intel Core i3-4130T,8 GB,NVIDIA GeForce GTX 680,28 GB,Ubuntu 17.10
Need for Speed Most Wanted (2012),Intel Core 2 Duo T7250,2 GB,ATI Radeon 3000,20 GB,Windows Vista (Service Pack 2 and all available windows updates) 32-bit
MONSTER HUNTER: WORLD,Intel Core i5-4460,8 GB,AMD Radeon R7 260X,20 GB,"WINDOWS® 7, 8, 8.1, 10 (64-bit required)"
STAR WARS Battlefront 2,Intel Core i5-6600K,8 GB,AMD Radeon HD 7850,60 GB,64-bit Windows 7 SP1/Windows 8.1/Windows 10
Poppy Playtime,Intel Core i5-4400E,8 GB,AMD Radeon RX 580,20 GB,Windows 10
Asphalt 9: Legends,Intel Core i3-3110M,4 GB,AMD Radeon HD 5450,6 GB,Windows 10 or later
Call of Duty Black Ops,Intel Core 2 Duo E6600,2 GB,NVIDIA GeForce 8600 GT,12 GB,Windows XP
Tower of Fantasy,Intel Core i5-4400E,8 GB,NVIDIA GeForce GT 1030,25 GB,Windows 7 SP1 64-bit
NieR:Automata,Intel Core i3-2100,4 GB,AMD Radeon R9 270X,50 GB,Windows 7 /8.1 /10 64bit
Tom Clancy's Ghost Recon Wildlands,AMD FX-4320,6 GB,NVIDIA GeForce GTX 660,50 GB,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)"
Divinity: Original Sin 2 - Definitive Edition,Intel Core i5-2400,4 GB,NVIDIA GeForce GTX 550 Ti,60 GB,Windows 7 SP1 64-bit or Windows 8.1 64-bit or Windows 10 64-bit
Five Nights at Freddy's: Security Breach,Intel Core i5-6600K,8 GB,NVIDIA GeForce GTX 1050 Ti,80 GB,Windows 10 (64 bit)
PRO EVOLUTION SOCCER 2018,Intel Core i5-3450,8 GB,AMD Radeon HD 7750,30 GB,Windows 7 SP1/8.1/10 - 64bit
World War 3,AMD FX-6300,8 GB,NVIDIA GeForce GTX 670,80 GB,Windows 10  (x64)
GTA: San Andreas,Intel Core i5-6600K,8 GB,NVIDIA GeForce GTX 760,45 GB,Windows 10
Risk of Rain 2,Intel Core i3-6100,4 GB,AMD Radeon HD 7870,4 GB,"Windows 7 or newer, 64-bit"
POLYGON,Intel Core i3-530,4 GB,AMD Radeon HD 6850,2 GB,Windows 7 SP1 (64-bit)
Call of Duty Modern Warfare Remastered,Intel Core i3-3225,8 GB,AMD Radeon HD 7850,39 GB,Windows 7
Gloomhaven,Intel Core i5-3470,8 GB,AMD Radeon R9 280,14 GB,Win 10 64bits
Gungrave G.O.R.E,Intel Core i7-610,16 GB,NVIDIA GeForce GTX 1060,30 GB,Windows 8
Inside the Backrooms,Intel Core i5-2300,8 GB,AMD Radeon HD 7870,5 GB,Windows 7 64-bit or higher
Thymesia,Intel Core i5-4400E,8 GB,NVIDIA GeForce GTX 950,16 GB,Windows 10 (64 Bit)
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,Intel Core i5-650,4 GB,AMD Radeon HD 7730,40 GB,Windows 7 64-bit / Windows 8.1 64-bit / Windows 10 64-bit
Diablo Immortal,AMD FX-8100,4 GB,AMD Radeon HD 6850,24 GB,Windows 7 64-bit
Brawlhalla,Intel Core 2 Duo E8400,1 GB,Intel HD 3000,350 MB,Windows
Left 4 Dead,Intel Pentium 4 4.00GHz,1 GB,NVIDIA GeForce 6600,5 GB,Windows® 7 32/64-bit / Vista 32/64 / XP
Tom Clancy's Ghost Recon Breakpoint,Intel Core i5-4460  or Ryzen 3 1200,8 GB,NVIDIA GeForce GTX 960  or Radeon R9 280X,42 GB,Windows 7
