game_name,cpu,ram,gpu,storage,os
Island Assault,Intel Core i7-9700F,32 GB,NVIDIA GeForce RTX 2060,8 GB,Windows 7/8/10 (64-bit OS required
Tumbleweed Destiny,Intel Core 2 Quad Q8400,4 GB,AMD Radeon HD 7750,4 GB,Windows 7/8.1/10/11 (64-bit versions)
Plunge The Plumber,Intel Core 2 Duo Q6867,4 GB,ATI FireGL V7350,380 MB,"Any modern Linux distribution (e.g. Ubuntu, Fedora, etc.)"
Traitors in Salem,Intel Pentium 4 2.00GHz,8 GB,NVIDIA GeForce 510,4 GB,Windows 7 64-bit
dweeMIXED: Thwee Pack,Intel Core i5-4400E,2 GB,ATI FireGL V7350,500 MB,Windows 10
Adventures of Samuel: The Worst Game Ever Made,Intel Pentium 4 2.00GHz,69 MB,ATI FireGL T2-128,,"Windows 7, 8, 10, 11"
OPPAI RENDER,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,5 GB,windows 7 64 bit
Candy Blizzard,Intel Core i3-2340UE,1 GB,NVIDIA GeForce 510,200 MB,7/8/10
失落的舰队：1658,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,windows 10
Rick and Josh adventures,Intel Celeron,512 MB,Intel Media Accelerator 500,137 MB,Microsoft Windows
Desaturation Point,Intel Core i5-4690,2 GB,NVIDIA GeForce GTX 970,500 MB,Windows 10
Light The Lamp Hockey,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,300 MB,"Windows 7, 10, 11"
Cursed Dungeon Raider,Intel Core i5-4570,8 GB,NVIDIA GeForce GTX 970,10 GB,Any Linux distribution with Vulkan API
Apparatus,Intel Core i5-4400E,500 MB,NVIDIA GeForce GTX 1050,500 MB,Windows 10 or 11
For Your Information,Intel Core i5-4570,8 GB,NVIDIA GeForce GTX 960,400 MB,Windows 10
No Lights 2,Intel Core i3-2340UE,4 GB,NVIDIA GeForce 8600 GT,400 MB,"Win 7, 8, 10"
Dread X Collection 5,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce GTX 470,15 GB,Windows 7 32/64-bit
Jumping Horses Champions,Intel Core i5-2500,4 GB,AMD Radeon HD 8570D,600 MB,Windows 10 or later
Billy Bonka,AMD FX-4350,6 GB,AMD Radeon RX 460,70 MB,Windows 10
Wormhole,Intel Core 2 Duo Q6867,2 GB,Intel HD 4000,150 MB,Windows 7
Cat Nips,Intel Pentium 4 2.00GHz,1 GB,AMD Radeon X1300,100 MB,Windows 7+
EVERING,Intel Pentium III 1400 @ 1400MHz,2 GB,AMD Radeon HD 6250,400 MB,Microsoft Windows 7-64 bit or later
Slayer,Intel Core i5-4400E,8 GB,NVIDIA GeForce GTX 1660 Ti,403 MB,Windows 10
Grow Up! - A Worm Game,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 510,,"Windows 7, 8, or 10"
Snufkin: Melody of Moominvalley,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce 510,,TBA
unHappy Hour,Intel Pentium 4 2.00GHz,1 GB,ATI FireMV 2400 PCIe,1 GB,Microsoft® Windows® 7 or higher
姚记捕鱼,Intel Core 2 Duo E8400,1 GB,NVIDIA GeForce 510,1 GB,
Roy's Rugs,Intel Core 2 Duo E8400,1 GB,NVIDIA GeForce 510,,Windows 7
FPS Arena Online,Intel Pentium 4 2.00GHz,8 GB,AMD Radeon 7000 / Radeon VE Family,5 GB,64-bit Windows 10
Cat Powered UFO,Intel Core i5-3470,4 GB,ATI Radeon 7500,120 MB,Windows 7
Super Sol Standard,Intel Core 2 Duo E8400,4 GB,ATI FireGL T2-128,1 GB,Ubuntu
Siren Head Horror Bunker VR,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 970,2 GB,Windows 10
Petit Island,Intel Core i5-4400E,4 GB,Intel HD 630,3 GB,"Windows 7, 64-bits"
